Телефон teXet TM-D421,2395,https://market.yandex.ru/product/1761425203?hid=91491&nid=34512430,1,Электроника>Смартфоны и гаджеты>Смартфоны>teXet,3.3,4
"Телефон BQ 2454 Ray, 2 SIM, синий",1490,https://market.yandex.ru/product/1749421231?offerid=SLptYYfLwnWALdw86C785A&sku=101724387927&cpc=vcwUlRONgjENj0br7aXGTTRu_9cVPEqYPgz-5gglvyryDoKCkUn0h4pEvZlalJ8DYFgbahIAJAZQeSoxufFTxpUsnxkHJjvfvGnxPVIki4AuxbukBzGhVrUCYlFd3lxmM1KpASbSqSpxlj76mBsJIxT7_I3PGfZo1KJDlRNWP-0rYPmUZv4qHyCDBbLfDa16bLVGTOffOcE3sGF7K6_n6eonCrVYoM9BYqAeMYPMKmn9_aZ6Pc5_G8Bfxp_NCXpJR5SBo3bWwQ9QLXJrM2Lzlg,51,Электроника>Смартфоны и гаджеты>Смартфоны>BQ,4.5,44
"Телефон Dizo Star 400, 2 SIM, голубой",2248,https://market.yandex.ru/product/1823914746?offerid=QR8vXv62J5e_bagZR37PKg&sku=101967928387&cpc=vcwUlRONgjFahIHLvrSEhv8pW-zZehs2zpMXjGqLHKQKtGuMnoZh6IIWKjcpeaFH4uw_VTJwtH4tmejo5T9yks15hrNifKfRsMqeWJKigZzJxCLf1jO-HZy_cnWA36La6jKfmlofamNfMEXwLTg119EypAuryg3m9InPl7Larfj11EsVsFPdA6gr4KitzTdgU-KlVzP6yDo,1,Электроника>Смартфоны и гаджеты>Смартфоны>Dizo,3.9,7
"Смартфон Xiaomi Redmi 12C 4/128 ГБ Global, 2 nano SIM, фиолетово-лавандовый",11790,https://market.yandex.ru/product/1818758979?offerid=Yz_b7xp3VsErdTA4KMaiZQ&sku=101967942478&cpc=vcwUlRONgjFI16QUhCthCX4jvmTMNVODELMbX6Y8BNSEqMxqBTQ6o2TgCWoyDUfdyO90efuXiiCBbtB5P2mY6RD-MxEv0hP-Mvtg11NWV3-PbMl6SLVcfgzLS2RTqnLNq1HuJgX5mD4iIUupf3s54xnKw9zxEsMtausjo_0ClzuxgKDh7Zg2nm9cFGx_yJvK87_f2B7kvkU,1,Электроника>Смартфоны и гаджеты>Смартфоны>Xiaomi,4.8,680
Смартфон TECNO Spark 10,10189,https://market.yandex.ru/product/1827560684?hid=91491&nid=34512430,1,Электроника>Смартфоны и гаджеты>Смартфоны>TECNO,5,425
"Смартфон Itel P40 4/128 ГБ, 2 nano SIM, черный",8200,https://market.yandex.ru/product/1873895213?offerid=qKqGRoNm_TfGFIJaMBAKlw&sku=102047044780&cpc=vcwUlRONgjHDD1OHPYG0pSkWzuBSdc39d6hdvFWrgyue2vZF0lljA6usRAyt7RrpmDhHN7QRX7QW091g9CB1snFaGDUYleu5MEAwwu-sm7nQE8DMIA3qhEIBWXOV9R6vlRTc3CYjgvbkeQ_Oy4_r1AuOxCQ8IL8QVD-URc6m-T9NsjqPEvayyJpexo1NFMjB9Tid5QKMeeCkSK27gWhnAm1AjseI8XKPTEB71EpD8cmWQ9Lu_zNzeAhrIPZYzG7QE0MkeRmNSEY,2,Электроника>Смартфоны и гаджеты>Смартфоны>Itel,4.8,53
"Смартфон Tecno CAMON 20 Pro 8+256, голубой",18990,https://market.yandex.ru/product/1875157665?offerid=2y8Kmry4wjHadkCFebUyAg&sku=102049271306&cpc=vcwUlRONgjHJrauiw_mBEaYoCBW64s6UJob8_lkLzs5sD8IBiyFOlUegU6UXpYbP_d-KjFH6oRdia8ok4TdJy4W2R2MjsjZ9jmj2XJQEE777Kv3RGRNL7xs8yL_qKTrrJoSpokJ5qrEr24z7CKA98Yc25CwgR2TJr36IIt2JcSACnydfCoheuWROZqavLT1_zzllCf3cWcc,7,Электроника>Смартфоны и гаджеты>Смартфоны>Tecno,4.9,33
"Смартфон TECNO Spark 10 Pro 8/128 ГБ, Dual nano SIM, pearl white",18580,https://market.yandex.ru/product/1828753655?offerid=-7HWA5fO1ibZNS4VNZJLtw&sku=101981318743&cpc=vcwUlRONgjGGVq140HeKmadkupZqKhjWpoeAxS1nLvmfDSg4_DtmjJVDKzVzQJ9o4ZAmmS9nfKZGqP1aFmZDcOt8B3GEGkJ-vle2XdhP_eKMPJFcusbdge8BF7bWOOe_6BkC6A8L1pst2iEaJ1vLRauYyfHqDIJE8KuVkLv17nSbWmP0fUG5vC2Hhiy9E9syVeUJZ-QgFPI,3,Электроника>Смартфоны и гаджеты>Смартфоны>TECNO,4.8,443
"Смартфон Xiaomi Redmi Note 12 4G 6/128 ГБ RU, Dual nano SIM, Onyx Gray",13790,https://market.yandex.ru/product/1825115715?offerid=EF_uPIUTbxzn4DZIc0RVdA&sku=101971906229&cpc=vcwUlRONgjEOlC6q-n-SU_B09MUYYH4oh1v7GNwfFy-gMaXILPbNuUGOVFs-89cJ4mmeJV_fK8ONYO95Z_i-BFjnBw4g5i1f5YbYMhzboM8E-hmqUcKOSoWL6B87TlDBWGujY-F4qm3YNi02fxPXuZTom_8mWVFIR2EUpo5ABqTNoXHE3-EM1kEbbV0tB7epQyMPo0Nb_qQ&resale_goods=resale_resale&resale_goods_condition=resale_excellent,1,Электроника>Смартфоны и гаджеты>Смартфоны>Xiaomi,4.8,734
Смартфон Apple iPhone 15,96990,https://market.yandex.ru/product/1912483624?hid=91491&nid=34512430,29,Электроника>Смартфоны и гаджеты>Смартфоны>Apple,5,1
"MAXVI P15, 3 SIM, черный",990,https://market.yandex.ru/product/44912576?offerid=gtMorlh-24N06iiOze35wg&sku=100326878672&cpc=guLuUsljrWTSHbiRjQH7WOa3FC1KQ6bVE0oT49k8lIo--iwjv4xA_DEYhPoiwquRP_ZOb6o9gQkJsy5CDKkPSO4r0S7yI-jMSG49AFOd2bZ90xbJ9KqcP1tfz1sikVVRo49qxCDFYLKLBVwnFL2BjJn8fgvaXwMyEoUQ79a-MAovA55i8u4OvOYtFso6F9RHsDSnVEfsxOA&resale_goods=resale_resale&resale_goods_condition=resale_well,1,Электроника>Смартфоны и гаджеты>Смартфоны>MAXVI,4.2,29
"Смартфон Nokia N8, 1 SIM, бронзовый",5250,https://market.yandex.ru/product/6168859?offerid=1_f98ZDqSI9rpzTJnRPJXQ&sku=102050070782&cpc=guLuUsljrWRUFBcWHVJ-Oc1DvribIhhV479VctSxx2DsskPUciYeWXvNxd21Wt2N-ji2po4prqK4CLP8mmF8ZghrWzWKEp0OLHaPQB6Eyda-VKYpOl50lkzMF9Qef-95mNLOXHKEeLxsdBwfDakABHzaylJ5gSw3ijkHyNQCdGJNAhww3jNXisjKdiLvITs7S0QSvWA0beKwyW8LZXTbKmyfvqEioRF9XAQEo0JmOgS1FP6jyrHybXqg1vImGm7IXMJD8OjufNLVDsjI6B2LWg&resale_goods=resale_resale&resale_goods_condition=resale_excellent,1,Электроника>Смартфоны и гаджеты>Смартфоны>Nokia,4.4,890
